          x            density        pressure        velocity        internal energy
   7.3750000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   7.5000000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   7.6250000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   7.7500000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   7.8750000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   8.0000000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   8.1250000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   8.2500000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   8.3750000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   8.5000000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   8.6250000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   8.7500000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   8.8750000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   9.0000000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   9.1250000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   9.2500000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   9.3750000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   9.5000000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   9.6250000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   9.7500000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   9.8750000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   1.0000000E-01   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   1.0125000E-01   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   1.0250000E-01   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   1.0375000E-01   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   1.0500000E-01   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   1.0625000E-01   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   1.0750000E-01   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   1.0875000E-01   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   1.1000000E-01   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   1.1125000E-01   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   1.1250000E-01   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
